"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"0032"	"0034"	"a)/ggelos, ou, o("	"an angel, messenger"	"a messenger, generally a (supernatural) messenger from God, an angel, conveying news or behests from God to men."
"0034"	"0036"	"a)ge/lh, hs, h("	"a flock, herd"	"a flock, herd."
"0035"	"0037"	"a)genealo/ghtos, on"	"of unrecorded genealogy"	"of unrecorded genealogy, whose descent cannot be traced."
"0036"	"0038"	"a)genh/s, e/s"	"without family, ignoble"	"lit: without family, hence: ignoble, base."
"0037"	"0039,0420"	"a(gia/zw"	"I make holy, sanctify"	"I make holy, treat as holy, set apart as holy, sanctify, hallow, purify."
"0038"	"0040"	"a(giasmo/s, ou=, o("	"sanctification, holiness"	"the process of making or becoming holy, set apart, sanctification, holiness, consecration."
"0040"	"0041"	"a(/gios, i/a, on"	"set apart, holy, sacred"	"set apart by (or for) God, holy, sacred."
"0041"	"0042"	"a(gio/ths, htos, h("	"holiness"	"holiness, sanctity, as an abstract quality."
"0042"	"0043"	"a(giwsu/nh, hs, h("	"a holy or sanctified state"	"a holy or sanctified state."
"0043"	"0044"	"a)gka/lh, hs, h("	"an arm"	"an arm, especially as bent to receive a burden."
"0044"	"0045"	"a)/gkistron, ou, to/"	"a fish-hook"	"a fish-hook."
"0045"	"0046"	"a)/gkura, as, h("	"an anchor"	"an anchor."
"0046"	"0047"	"a)/gnafos, on"	"unshrunken, new"	"unshrunken, new."
"0047"	"0048"	"a(gnei/a, as, h("	"purity, chastity"	"purity, chastity."
"0048"	"0049"	"a(gni/zw"	"I cleanse, purify"	"I cleanse, purify, either ceremonially, actually, or morally."
"0049"	"0050"	"a(gnismo/s, ou=, o("	"purification"	"(ceremonial) purification."
"0050"	"0051"	"a)gnoe/w"	"I do not know, am ignorant of"	"I do not know, am ignorant of (a person, thing, or fact), sometimes with the idea of willful ignorance."
"0051"	"0052"	"a)gno/hma, atos, to/"	"an offence committed through ignorance"	"an offence committed through ignorance, an error due to (willful or culpable) ignorance."
"0052"	"0053"	"a)/gnoia, as, h("	"ignorance"	"ignorance, inadvertence, sometimes with the idea of willful blindness."
"0053"	"0054"	"a(gno/s, h/, o/n"	"pure, chaste"	"(originally, in a condition prepared for worship), pure (either ethically, or ritually, ceremonially), chaste."
"0054"	"0055"	"a(gno/ths, thtos, h("	"purity, chastity"	"purity, chastity."
"0055"	"0056"	"a(gnw=s"	"purely, sincerely"	"purely, sincerely, with pure motives, honestly."
"0056"	"0057"	"a)gnwsi/a, as, h("	"ignorance"	"ignorance; specifically: willful ignorance."
"0057"	"0058"	"a)/gnwstos, on"	"unknown"	"unknown, unknowable."
"0058"	"0059"	"a)gora/, a=s, h("	"market-place"	"market-place, forum, public place of assembly."
"0059"	"0060"	"a)gora/zw"	"I buy"	"I buy."
"0060"	"0061"	"a)gorai=os, on"	"a lounger in the market-place"	"a lounger in the market-place, perhaps with the idea of agitator."
"0061"	"0062"	"a)/gra, as, h("	"catching, a catch"	"catching, a catch."
"0062"	"0063"	"a)gra/mmatos, on"	"uneducated"	"unlettered, illiterate, uneducated, perhaps with the narrower idea: unacquainted with Rabbinic teaching."
"0063"	"0064"	"a)graule/w"	"I spend the night in the open"	"I spend the night in the open, bivouac."
"0064"	"0065"	"a)greu/w"	"I catch, capture"	"I catch, capture."
"0065"	"0066"	"a)grie/laios, ou, h("	"a wild olive tree"	"a wild olive tree, oleaster."
"0066"	"0067"	"a)/grios, i/a, ion"	"wild, fierce"	"wild, fierce."
"0067"	"0068"	"*)agri/ppas, a, o("	"Agrippa"	"Agrippa, i.e. Herod Agrippa II."
"0068"	"0069"	"a)gro/s, ou=, o("	"a field, the country"	"a field, especially as bearing a crop; the country, lands, property in land, a country estate."
"0069"	"0070"	"a)grupne/w"	"I am awake"	"I am not asleep, am awake; especially: I am watchful, careful."
"0070"	"0071"	"a)grupni/a, as, h("	"sleeplessness, watching"	"the state of being awake (at night), sleeplessness, watching."
"0071"	"0072"	"a)/gw"	"I lead"	"I lead, lead away, bring (a person, or animal), guide, spend a day, go."
"0072"	"0073"	"a)gwgh/, h=s, h("	"conduct"	"a leading, guiding; hence: mode of life, conduct."
"0073"	"0074"	"a)gw/n, w=nos, o("	"a contest"	"an (athletic) contest; hence, a struggle (in the soul)."
"0074"	"0075"	"a)gwni/a, as, h("	"contest, agony"	"(properly the feeling of the athlete before a contest), great fear, terror, of death; anxiety, agony."
"0075"	"0076"	"a)gwni/zomai"	"I strive, contend"	"I am struggling, striving (as in an athletic contest or warfare); I contend, as with an adversary."
"0076"	"0077"	"*)ada/m, o("	"Adam"	"Adam, the first man, the first parent of the human race."
"0077"	"0078"	"a)da/panos, on"	"without expense, free"	"without expense, for which nothing has to be paid."
"0078"	"0079"	"*)addi/, o("	"Addi"	"Addi, son of Cosam, and father of Melchi, one of the ancestors of Jesus."
"0079"	"0080"	"a)delfh/, h=s, h("	"a sister"	"a sister, a woman (fellow-)member of a church, a Christian woman."
"0080"	"0081"	"a)delfo/s, ou=, o("	"a brother"	"a brother, member of the same religious community, especially a fellow-Christian."
"0081"	"0082"	"a)delfo/ths, thtos, h("	"brotherhood"	"brotherhood (in the collective sense), the members of the Christian Church, Christendom."
"0082"	"0083"	"a)/dhlos, on"	"unseen, not obvious"	"unseen, not obvious, inconspicuous, indistinct."
"0083"	"0084"	"a)dhlo/ths, thtos, h("	"uncertainty"	"the quality of being unseen (of disappearing), indefiniteness, uncertainty."
"0084"	"0085"	"a)dh/lws"	"out of sight, uncertainly"	"out of sight, obscurely, inconspicuously, uncertainly, without certain aim."
"0085"	"0194,0086"	"a)dhmone/w"	"I am troubled, distressed"	"I feel fear, lack courage, am distressed, troubled."
"0086"	"0087"	"*(/a|dhs, ou, o("	"Hades"	"Hades, the unseen world."
"0087"	"0088"	"a)dia/kritos, on"	"unambiguous"	"without uncertainty, unambiguous, undivided, whole-hearted."
"0088"	"0089"	"a)dia/leiptos, on"	"unceasing, unremitting"	"unceasing, unremitting."
"0089"	"0090"	"a)dialei/ptws"	"unceasingly"	"unceasingly, without remission."
"0090"	"0091,0916,0917"	"a)diafqori/a, as, h("	"incorruptibility, soundness, integrity"	"incorruptibility, soundness, integrity, purity."
"0091"	"0092"	"a)dike/w"	"I act unjustly towards"	"I act unjustly towards, injure, harm."
"0092"	"0093"	"a)di/khma, atos, to/"	"a crime, misdeed"	"a legal wrong, crime (with which one is charged), misdeed, crime against God, a sin."
"0093"	"0094"	"a)diki/a, as, h("	"unrighteousness"	"injustice, unrighteousness, hurt."
"0094"	"0096"	"a)/dikos, on"	"unjust, unrighteous"	"unjust, unrighteous, wicked."
"0095"	"0097"	"a)di/kws"	"unjustly"	"unjustly, undeservedly."
"0096"	"0099"	"a)do/kimos, on"	"failing to pass the test"	"failing to pass the test, unapproved, counterfeit."
"0097"	"0100"	"a)/dolos, on"	"pure"	"unadulterated, pure, guileless."
"0098"	"0101"	"*)adramutthno/s, h/, o/n"	"belonging to Adramyttium"	"belonging to Adramyttium, a port in Mysia, in Asia Minor."
"0099"	"0102"	"*)adri/as, ou, o("	"the Adriatic Sea"	"the Hadria, a name given by sailors not merely to the Adriatic Sea, to which it properly belonged, but also to the open Mediterranean to the south-east of Italy, to the sea that lay between Malta, Italy, Greece, and Crete."
"0100"	"0103"	"a(dro/ths, thtos, h("	"lavishness"	"lavishness, lavish generosity, abundance, bounty."
"0101"	"0104"	"a)dunate/w"	"to be impossible"	"to be impossible; I am unable."
"0102"	"0105"	"a)du/natos, on"	"incapable, impossible"	"of persons: incapable; of things: impossible; either the inability, or that which is impossible."
"0103"	"0106"	"a)/|dw"	"I sing"	"I sing."
"0104"	"0107"	"a)ei/"	"always"	"always, unceasingly, perpetually; on every occasion."
"0105"	"0108"	"a)eto/s, ou=, o("	"an eagle, bird of prey"	"an eagle, bird of prey."
"0106"	"0109"	"a)/zumos, on"	"unleavened, the paschal feast, uncorrupted"	"unleavened, the paschal feast (a feast of the Hebrews); fig: uncorrupted, sincere."
"0107"	"0110"	"*)azw/r, o("	"Azor"	"Azor, son of Eliakim and father of Zadok, an ancestor of Jesus."
"0108"	"0111"	"*)/azwtos, ou, h("	"Azotus, Ashdod"	"Azotus, Ashdod, a coast town of Palestine belonging to the ancient Philistia, and part of Herod's kingdom."
"0109"	"0113"	"a)h/r, a)e/ros, o("	"air"	"air, the lower air we breathe."
"0110"	"0114"	"a)qanasi/a, as, h("	"immortality"	"immortality, imperishability, freedom from death."
"0111"	"0116"	"a)qe/mitos, on"	"illegal, unlawful"	"illegal, unlawful, criminal, lawless."
"0112"	"0117"	"a)/qeos, on"	"godless"	"without god, without (the only true) God, godless."
"0113"	"0118"	"a)/qesmos, on"	"lawless"	"lawless, unrestrained, licentious."
"0114"	"0119"	"a)qete/w"	"I annul"	"I annul, make of no effect, set aside, ignore, slight; I break faith with."
"0115"	"0120"	"a)qe/thsis, ews, h("	"nullification, abrogation"	"annulment, nullification, abrogation."
"0116"	"0121"	"*)aqh=nai, w=n, ai("	"Athens"	"Athens, the intellectual capital of Greece."
"0117"	"0122"	"*)aqhnai=os, a, on"	"Athenian"	"Athenian, belonging to Athens."
"0118"	"0123"	"a)qle/w"	"I compete"	"I engage, compete, in an (athletic) contest."
"0119"	"0124"	"a)/qlhsis, ews, h("	"a contest"	"a struggling (as in an athletic contest)."
"0120"	"0126"	"a)qume/w"	"I lose heart"	"I lose heart, am despondent, am disheartened."
"0121"	"0127"	"a)qw=|os, on"	"guiltless"	"(sometimes: unpunished), guiltless, innocent."
"0122"	"0128"	"ai)/geios, a, on"	"of a goat"	"of a goat."
"0123"	"0129"	"ai)gialo/s, ou=, o("	"sea-coast, beach"	"sea-coast, (sandy) beach; shore (of sea or lake), land."
"0124"	"0130"	"*ai)gu/ptios, a, on"	"Egyptian"	"Egyptian."
"0125"	"0131"	"*ai)/guptos, ou, h("	"Egypt"	"Egypt."
"0126"	"0132"	"a)i+/dios, on"	"eternal"	"eternal, everlasting."
"0127"	"0133,1290"	"ai)dw/s, ou=s, h("	"shame, modesty"	"shame, modesty."
"0128"	"0134"	"*ai)qi/oy, opos, o("	"an Ethiopian"	"an Ethiopian, Abyssinian."
"0129"	"0135"	"ai(=ma, atos, to/"	"blood"	"blood (especially as shed)."
"0130"	"0136"	"ai(matekxusi/a, as, h("	"a shedding or pouring forth of blood"	"a shedding or pouring forth of blood (in sacrifice)."
"0131"	"0137"	"ai(morroe/w"	"I suffer from a continual flow (oozing) of blood"	"I suffer from a continual flow (oozing) of blood."
"0132"	"0138"	"*ai)ne/as, a, o("	"Aeneas"	"Aeneas, a citizen of Lydda."
"0133"	"0139"	"ai)/nesis, ews, h("	"praise"	"praise, commendation."
"0134"	"0140"	"ai)ne/w"	"I praise"	"I praise."
"0135"	"0141"	"ai)/nigma, atos, to/"	"a riddle, an enigma"	"a riddle, an enigma."
"0136"	"0142"	"ai)=nos, ou, o("	"praise"	"praise."
"0137"	"0143"	"*ai)nw/n, h("	"Aenon"	"Aenon; Eusebius and Jerome place this site 8 (Roman) miles south of Scythopolis near the Jordan."
"0138"	"0145"	"ai(re/w"	"I choose, prefer"	"I choose, prefer."
"0139"	"0146"	"ai(/resis, ews, h("	"a self-chosen opinion, a sect"	"a self-chosen opinion, a religious or philosophical sect, discord or contention."
"0140"	"0147"	"ai(reti/zw"	"I choose"	"I choose."
"0141"	"0148"	"ai(retiko/s, h/, o/n"	"factious"	"disposed to form sects, sectarian, heretical, factious."
"0142"	"0149"	"ai)/rw"	"I raise, lift up"	"I raise, lift up, take away, remove."
"0143"	"0150"	"ai)sqa/nomai"	"I perceive"	"I perceive, understand."
"0144"	"0151"	"ai)/sqhsis, ews, h("	"perception"	"perception, understanding, discernment."
"0145"	"0152"	"ai)sqhth/rion, ou, to/"	"perceptive faculty"	"perceptive faculty."
"0146"	"0153"	"ai)sxrokerdh/s, es"	"greedy"	"greedy, fond of base gain."
"0147"	"0154"	"ai)sxrokerdw=s"	"greedily"	"greedily, in a spirit of eagerness for base gain."
"0148"	"0155"	"ai)sxrologi/a, as, h("	"filthy speech"	"filthy speech, foul language."
"0150"	"0156"	"ai)sxro/s, a/, o/n"	"base, disgraceful"	"base, disgraceful."
"0151"	"0157"	"ai)sxro/ths, thtos, h("	"obscenity, indecency, baseness"	"obscenity, indecency, baseness."
"0152"	"0158"	"ai)sxu/nh, hs, h("	"shame"	"shame, shamefacedness, shameful deeds."
"0153"	"0159"	"ai)sxu/nomai"	"I am ashamed, am put to shame"	"I am ashamed, am put to shame."
"0154"	"0160"	"ai)te/w"	"I ask, request, beg, petition"	"I ask, request, petition, demand."
"0155"	"0161"	"ai)/thma, atos, to/"	"a petition, request"	"a petition, request."
"0156"	"0162"	"ai)ti/a, as, h("	"a cause, reason, charge"	"a cause, reason, excuse; a charge, accusation; guilt; circumstances, case."
"0157"	"0163,0166"	"ai)ti/wma, atos, to/"	"a charge, accusation"	"a charge, accusation."
"0158"	"0165"	"ai)/tion, ou, to/"	"cause, crime"	"cause, crime, guilt, criminality."
"0159"	"0165"	"ai)/tios, ou, o("	"the cause of, the originator of"	"the cause, author; the culprit, the accused; the crime."
"0160"	"0167"	"ai)fni/dios, on"	"unexpected, sudden"	"unexpected, sudden."
"0161"	"0168"	"ai)xmalwsi/a, as, h("	"captivity"	"captivity; a captive multitude."
"0162"	"0169"	"ai)xmalwteu/w"	"I take captive"	"I take captive, captivate."
"0163"	"0170"	"ai)xmalwti/zw"	"I take captive, subdue, ensnare"	"I take captive (in war); I subdue, ensnare."
"0164"	"0171"	"ai)xma/lwtos, ou, o("	"a captive, prisoner"	"a captive (in war), a prisoner."
"0165"	"0172"	"ai)w/n, w=nos, o("	"an age, a cycle of time"	"an age, a cycle (of time), especially of the present age as contrasted with the future age, and of one of a series of ages stretching to infinity."
"0166"	"0173"	"ai)w/nios, i/a, ion"	"eternal, unending"	"age-long, and therefore: practically eternal, unending; partaking of the character of that which lasts for an age, as contrasted with that which is brief and fleeting."
"0167"	"0174"	"a)kaqarsi/a, as, h("	"uncleanness, impurity"	"uncleanness, impurity."
"0169"	"0176"	"a)ka/qartos, on"	"unclean, impure"	"unclean, impure."
"0170"	"0177"	"a)kaire/omai"	"I am without a suitable opportunity"	"I am without a suitable opportunity."
"0171"	"0178"	"a)kai/rws"	"unseasonably"	"unseasonably, out of due season, inopportunely."
"0172"	"0179"	"a)/kakos, on"	"innocent, guileless, simple"	"innocent, guileless, simple."
"0173"	"0180"	"a)/kanqa, hs, h("	"a thorn-bush"	"a thorn-bush, prickly plant; a thorn."
"0174"	"0181"	"a)ka/nqinos, h, on"	"made of thorns"	"made of thorns."
"0175"	"0182"	"a)/karpos, on"	"unfruitful, barren"	"unfruitful, barren, profitless."
"0176"	"0183"	"a)kata/gnwstos, on"	"uncondemned, unimpeachable"	"not open to just rebuke; irreprehensible."
"0177"	"0184"	"a)kataka/luptos, on"	"not veiled, unveiled"	"unveiled, uncovered."
"0178"	"0185"	"a)kata/kritos, on"	"uncondemned"	"uncondemned, not yet tried."
"0179"	"0186"	"a)kata/lutos, on"	"indissoluble, that cannot be broken up"	"indissoluble, that cannot be broken up."
"0180"	"0187,0188"	"a)kata/paustos, on"	"not ceasing from, not abandoning"	"not ceasing from, not abandoning (giving up)."
"0181"	"0189"	"a)katastasi/a, as, h("	"disturbance, upheaval, revolution"	"disturbance, upheaval, revolution, almost anarchy, first in the political, and thence in the moral sphere."
"0182"	"0190"	"a)kata/statos, on"	"unsettled, unstable"	"unsettled, unstable (though these are hardly strong enough equivalents), almost anarchic."
"0183"	"0191"	"a)kata/sxetos, on"	"unrestrainable, unruly, untamable"	"unrestrainable, unruly, untamable."
"0184"	"0192"	"*)akeldama/"	"Akeldama"	"Akeldama (in Aramaic: field of blood)."
"0185"	"0193"	"a)ke/raios, on"	"simple, unsophisticated, innocent"	"(lit: unmixed) simple, unsophisticated, sincere, blameless."
"0186"	"0195"	"a)klinh/s, es"	"unbent, unyielding, resolute"	"unbent, unyielding, resolute, firm."
"0187"	"0196"	"a)kma/zw"	"I reach maturity, become ripe"	"I reach maturity, become ripe, am in full vigor."
"0188"	"0197"	"a)kmh/n"	"even now"	"even now."
"0189"	"0198"	"a)koh/, h=s, h("	"hearing, faculty of hearing, ear"	"hearing, faculty of hearing, ear; report, rumor."
"0190"	"0199"	"a)kolouqe/w"	"I accompany, attend, follow"	"I accompany, attend, follow."
"0191"	"0200,0201"	"a)kou/w"	"I hear, listen"	"I hear, listen, comprehend by hearing; pass: is heard, reported."
"0192"	"0202"	"a)krasi/a, as, h("	"incontinence, intemperance, lack of restraint"	"incontinence, intemperance (in wide sense), lack of restraint."
"0193"	"0203"	"a)krath/s, e/s"	"lacking self-control, inclined to excess"	"lacking self-control, powerless, inclined to excess."
"0194"	"0204"	"a)/kratos, on"	"unmixed, undiluted"	"unmixed, undiluted, pure."
"0195"	"0205"	"a)kri/beia, as, h("	"strictness, accuracy"	"strictness, accuracy, exactness, attention to detail, scrupulousness."
"0196"	"0206"	"a)kribe/statos"	"most exact, strict"	"most exact, strict."
"0198"	"0208"	"a)kribo/w"	"I examine carefully, inquire strictly"	"I learn carefully, inquire with exactness."
"0199"	"0209"	"a)kribw=s"	"carefully, exactly, strictly"	"carefully, exactly, strictly, distinctly."
"0200"	"0210"	"a)kri/s, i/dos, h("	"a locust"	"a locust."
"0201"	"0211"	"a)kroath/rion, i/ou, to/"	"auditorium, recitation hall, court room"	"auditorium, recitation hall, court room (for hearing cases)."
"0202"	"0212"	"a)kroath/s, ou=, o("	"a hearer of, a listener to"	"a hearer of, a listener to."
"0203"	"0213"	"a)krobusti/a, as, h("	"foreskin"	"(a technical word of Jewish use) foreskin, prepuce: used sometimes as a slang term by Jews, of Gentiles."
"0204"	"0214"	"a)krogwniai=os, a, on"	"in the corner, cornerstone"	"in the corner (of a building); subst: corner-(stone)."
"0205"	"0215"	"a)kroqi/nion, i/ou, to/"	"spoil, treasure"	"(lit: top of a heap), first-fruits, spoil, treasure (taken in war)."
"0206"	"0216"	"a)/kron, ou, to/"	"the end, extremity"	"the end, extremity."
"0207"	"0217"	"*)aku/las, ou, o("	"Aquila"	"the Greek way of writing the Latin Aquila, a male proper name; the husband of Priscilla (Prisca), and a Jew, of a family belonging to (Sinope in ?) Pontus."
"0208"	"0218"	"a)kuro/w"	"I annul, make of no effect, cancel"	"I annul, make of no effect, cancel."
"0209"	"0219"	"a)kwlu/tws"	"freely, without hindrance"	"(characteristic of legal documents), without hindrance, freely."
"0210"	"0220"	"a)/kwn, a)/kousa, a)=kon"	"unwilling"	"unwilling, generally used where English would express by an adverb: unwillingly."
"0211"	"0222,0223"	"a)la/bastron, ou, to/"	"an alabaster phial or bottle"	"a phial or bottle of perfumed ointment, usually of alabaster."
"0212"	"0224"	"a)lazonei/a, as, h("	"boasting, show, arrogant display"	"boasting, show, arrogant display, ostentation; plur: occasions of ostentation."
"0213"	"0225"	"a)lazw/n, o/nos, o("	"a boaster"	"a boaster, one who gives one's self airs in a loud and flaunting way."
"0214"	"0226"	"a)lala/zw"	"I cry aloud, a clanging or clashing cymbal"	"I cry aloud, raise a war-cry; a clanging or clashing cymbal."
"0215"	"0227"	"a)la/lhtos, on"	"unutterable, that baffles words"	"unutterable, that baffles words, unexpressed."
"0216"	"0228"	"a)/lalos, on"	"unable to speak"	"unable to speak or articulate; speechless."
"0217"	"0221,0229"	"a(/las, atos, to/"	"salt"	"salt."
"0218"	"0230"	"a)lei/fw"	"I anoint"	"I anoint: festivally, in homage, medicinally, or in anointing the dead."
"0219"	"0231"	"a)lektorofwni/a, as, h("	"cockcrow"	"the cockcrow, as a period of time, between midnight and 3 a.m."
"0220"	"0232"	"a)le/ktwr, oros, o("	"a cock, rooster"	"a cock, rooster."
"0221"	"0233"	"*)alecandreu/s, e/ws, o("	"an Alexandrian"	"an Alexandrian, a native (or resident) of Alexandria in Egypt."
"0222"	"0234"	"*)alecandri=nos, h, on"	"Alexandrian"	"Alexandrian, belonging to Alexandria in Egypt."
"0223"	"0235"	"*)ale/candros, ou, o("	"Alexander"	"Alexander, a name of Greek origin, (a) son of Simon of Cyrene, (b) the High Priest's kinsman, (c) an Ephesian Jew, (d) the coppersmith."
"0224"	"0236"	"a)/leuron, ou, to/"	"meal, flour"	"meal, flour."
"0225"	"0237"	"a)lh/qeia, as, h("	"truth"	"truth, but not merely truth as spoken; truth of idea, reality, sincerity, truth in the moral sphere, divine truth revealed to man, straightforwardness."
"0226"	"0238"	"a)lhqeu/w"	"I say, speak truth, I do truth"	"I say (speak) truth, do truth, maintain truth (the truth)."
"0227"	"0239"	"a)lhqh/s, e/s"	"unconcealed, true"	"unconcealed, true, true in fact, worthy of credit, truthful."
"0228"	"0240"	"a)lhqino/s, h, on"	"true, real, genuine"	"true (lit: made of truth), real, genuine."
"0229"	"0241"	"a)lh/qw"	"I grind"	"I grind."
"0230"	"0242"	"a)lhqw=s"	"truly, really, certainly"	"truly, really, certainly, surely."
"0231"	"0243"	"a(lieu/s, e/ws, o("	"a fisherman"	"a fisherman."
"0232"	"0244"	"a(lieu/w"	"I fish"	"I fish."
"0233"	"0245"	"a(li/zw"	"I salt, sprinkle with salt, keep fresh and sound"	"I salt, sprinkle with salt (of sacrifices or of those who offer sacrifice), keep fresh and sound, and so acceptable to God."
"0234"	"0246"	"a)li/sghma, atos, to/"	"pollution, perhaps a polluted thing"	"pollution, perhaps a polluted thing (especially of food)."
"0235"	"0247"	"a)lla/"	"but, except"	"but, except, however."
"0236"	"0248"	"a)lla/ssw"	"I change, alter"	"I change, alter, exchange, transform."
"0237"	"0249"	"a)llaxo/qen"	"from another quarter, by another way"	"from another place, by another way."
"0238"	"0251"	"a)llhgore/w"	"I speak allegorically"	"I speak allegorically."
"0239"	"0252"	"*(allhlou/i+a"	"Hallelujah, Praise the Lord"	"Hallelujah, Praise the Lord."
"0240"	"0253"	"a)llh/lwn"	"one another"	"one another, each other."
"0241"	"0254"	"a)llogenh/s, es"	"of another nation, a foreigner"	"of another nation, a foreigner."
"0242"	"0256,0380"	"a(/llomai"	"I leap, bubble up"	"I leap, leap up; of water: I spring up, bubble up."
"0243"	"0257"	"a)/llos, h, on"	"other, another, different"	"other, another (of more than two), different."
"0244"	"0258"	"a)llotrioepi/skopos, ou, o("	"a prier into other men's affairs"	"one who meddles in things alien to his calling or in matters belonging to others; factious."
"0245"	"0259"	"a)llo/trios, i/a, ion"	"belonging to another person, foreign"	"belonging to another person, belonging to others, foreign, strange."
"0246"	"0260"	"a)llo/fulos, on"	"foreign"	"foreign, of another tribe or race."
"0247"	"0261"	"a)/llws"	"otherwise"	"otherwise, things that are otherwise."
"0248"	"0262"	"a)loa/w"	"I thresh"	"I thresh (wheat)."
"0249"	"0263"	"a)/logos, on"	"unreasonable, senseless"	"without reason, irrational; contrary to reason, absurd."
"0250"	"0264"	"a)lo/h, hs, h("	"aloes"	"aloes, the powdered fragrant aloe wood."
"0251"	"0265"	"a(/ls, a(lo/s, o("	"salt"	"salt."
"0252"	"0266"	"a(luko/s, h/, o/n"	"salty, saltine, bitter"	"salty, saltine, bitter."
"0253"	"0267"	"a)/lupos, on"	"free from pain, grief, trouble"	"free from pain (grief, trouble)."
"0254"	"0268"	"a(/lusis, ews, h("	"a light chain"	"a (light) chain, bond."
"0255"	"0269"	"a)lusitelh/s, e/s"	"profitless, unprofitable"	"profitless, unprofitable, ruinous, detrimental."
"0256"	"0271"	"*)alfai/os, ou, o("	"Alphaeus"	"Alphaeus; apparently two persons, (a) father of Levi, and (b) father of James."
"0257"	"0272"	"a(/lwn, wnos, h("	"a threshing-floor"	"a threshing-floor."
"0258"	"0273"	"a)lw/phc, ekos, h("	"a fox"	"a fox; a fox-like, crafty person."
"0259"	"0274"	"a(/lwsis, ews, h("	"capture, capturing"	"capture, capturing."
"0260"	"0275"	"a(/ma"	"at the same time, along with"	"at the same time, therewith, along with, together with."
"0261"	"0276"	"a)maqh/s, e/s"	"unlearned, ignorant"	"unlearned, ignorant."
"0262"	"0277"	"a)mara/ntinos, h, on"	"unfading, fadeless"	"unfading, fadeless, enduring."
